,Exe_time,Case_Study,Dati,Start,Turning & Milling,Turning & Milling Q.C.,Laser Marking,Lapping,Round Grinding,Final Inspection Q.C.,Packing,End,Turning Q.C.,Flat Grinding,Grinding Rework,Setup,Turning,SETUP     Turning & Milling,Final Inspection,Rework Milling,Milling Q.C.,Milling,Fix,Round  Q.C.,Stress Relief,Turning Rework,Change Version,Turn & Mill. & Screw Assem,Nitration Q.C.
35,"(1.0, 24.691923999926075)",Production_Case_Study,error,0.0,34930.955769892054,72770.35024602611,134521.42857142858,192775.6216216215,54477.78840597039,99744.92162578089,102120.2277145238,0.0,36125.01478443222,63681.3638603842,282150.3857752969,69843.33333333334,46236.445444319426,58175.372542,36060.0,18941.516523,0.0,30923.121951219513,270149.99999999994,86824.28571428571,7300.000000000002,399560.00000000006,47415.0,68912.72159945847,798900.0
36,"(1.0, 32.70839459984563)",Production_Case_Study,alpha,0,0.08984375,0,0,0.25,0,0.125,0.0625,1,0.125,0.125,0.1171875,0.5,0.25,0.5,0,0,0,0.125,0,0.0625,0,1,0.5,0.09375,0
37,"(1.0, 32.70839459984563)",Production_Case_Study,error,0.0,31740.80121260671,77518.54046131298,134041.42857142858,171065.82667335498,52060.87944399893,101244.61460059675,75983.0592418788,5879.319816272728,23300.108364727275,66941.63605592134,285074.32125627703,106138.031065,39756.00089875587,58978.400589749996,36060.0,152900.0,0.0,23383.990794491227,241107.14285714284,18086.672974999998,7300.000000000002,399560.00000000006,29385.000000000004,58865.886392580964,894900.0
38,"(1.0, 24.059531700098887)",Production_Case_Study,alpha,0,0.0625,0.125,0.046875,0,0,0.125,0.078125,0,0.125,0.125,0.1171875,0.5,0,0.25,0,0,0.75,0.5,0,0.0625,0,0,0.5,0.03125,0.03125
39,"(1.0, 24.059531700098887)",Production_Case_Study,error,0.0,32449.136882750332,67536.33412823536,119594.96622209525,184343.35135135124,54953.333333333336,96384.06974750542,73104.75473523131,3272.7272727272734,22652.32316789197,66205.3869533466,290433.1204624331,5730.0,54115.275590551144,57504.4808086,169140.0,101700.00000000001,0.0,33446.767850288896,293729.99999999994,151287.856783,7300.000000000002,425306.6666666667,31317.222222222226,75334.73524550934,266877.2793485
40,"(1.0, 16.698779300088063)",Production_Case_Study,alpha,0,0.03125,0.03125,0.5,0,0.0625,0.015625,0.0625,0,0.03125,0,0.125,0,1,0,0,1,1,0.03125,0,0.03125,0.25,0,0,0.09375,0
41,"(1.0, 16.698779300088063)",Production_Case_Study,error,0.0,33842.3511685601,69253.07758123714,110592.17386078571,202880.75675675663,55728.46645090637,105234.8844451518,78352.11713387567,1058.8235294117646,28937.39206752136,65323.94025604555,313318.89306618855,33870.0,41223.33414874013,82064.0,36060.0,104493.9027565,0.0,22305.943723166667,363379.9999999999,87493.08230900002,7300.000000000002,399560.00000000006,28185.0,64678.14614200984,710100.0
42,"(1.0, 24.554905799916014)",Production_Case_Study,alpha,0,0.03125,0.046875,0,0,0.0625,0.0625,0.0625,1,0,0.1171875,0.125,1,0,0.5,0,0,1,0,0.5,0.25,0,0,0,0,0
43,"(1.0, 24.554905799916014)",Production_Case_Study,error,0.0,34158.30266470939,72062.82864392089,132721.42857142858,205825.6216216215,53067.29377697769,101988.4190843611,89177.0125876551,5115.062148600001,33546.407862407854,37260.81966475721,285142.75423247693,5730.0,54115.275590551144,162541.6224445,36060.0,6300.0,0.0,41219.666666666664,373510.0,81797.8332305,7300.000000000002,399560.00000000006,47415.0,86569.18272425252,894900.0
44,"(1.0, 16.001049799844623)",Production_Case_Study,alpha,0,0,0,0,0,0.03125,0,0.0625,0,0.015625,0.0625,0.125,0,1,0.25,0,0.75,1,0,0,0.0625,0,0,1,0,0
